1,,1,1,1
2,,2,1,2
3,,3,2,1
4,,4,2,2
5,,1,9,1
6,,2,9,2
7,,3,10,1
8,,4,10,2
9,,1,1,1
18,,2,1,2
19,,3,2,1
24,,4,2,2
25,,1,9,1
32,,2,9,2
33,,3,10,1
16,,4,10,2
17,,1,1,1
18,,2,1,2
19,,3,2,1
20,,4,2,2
21,,1,1,1
22,,1,1,2
1,,1,1,1
2,,2,1,2
3,,3,2,1
4,,4,2,2
5,,1,9,1
6,,2,9,2
7,,3,10,1
8,,4,10,2
9,,1,1,1
10,,2,1,2
11,,3,2,1
12,,4,2,2
13,,1,9,1
14,,2,9,2
15,,3,10,1
16,,4,10,2
17,,1,1,1
18,,2,1,2
19,,3,2,1
20,,4,2,2
21,,1,1,1
22,,1,1,2
1,,1,1,1
2,,2,1,2
3,,3,2,1
4,,4,2,2
5,,1,9,1
6,,2,9,2
7,,3,10,1
8,,4,10,2
9,,1,1,1
10,,2,1,2
11,,3,2,1
12,,4,2,2
13,,1,9,1
14,,2,9,2
15,,3,10,1
16,,4,10,2
17,,1,1,1
18,,2,1,2
19,,3,2,1
20,,4,2,2
21,,1,1,1
22,,1,1,2
,,,,
,,,,
